Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Customer_Type,State,City,Country,Product_ID,Category,Sub_Category,Product_Name,Unit_Price_INR,Quantity,Discount_Pct,Sales_INR,Cost_INR,Profit_INR,Payment_Method,Delivery_Days,Customer_Rating,Returned,Return_Reason,Year,Month,Month_Name,Quarter,Profit_Margin_Pct
ORD00001,2025-06-01,2025-06-04,Express Delivery,CUST0151,Sneha Sharma,Small Business,West Bengal,Kolkata,India,12,Home Appliances,Washing Machines,Samsung 7kg Washing Machine,32641.43,2,0.15,55490.43,48809.37,6681.06,Cash on Delivery,3,4.1,No,Not Applicable,2025,6,June,Q2,12.04
ORD00002,2025-08-21,2025-08-26,Standard Delivery,CUST0147,Rohan Singh,Consumer,Karnataka,Mangaluru,India,14,Home & Furniture,Furniture,Wooden Study Table,6495.37,2,0.1,11691.67,8774.97,2916.7,Credit Card,5,4.5,No,Not Applicable,2025,8,August,Q3,24.95
ORD00003,2025-02-22,2025-02-25,Express Delivery,CUST0151,Sneha Sharma,Small Business,Rajasthan,Jaipur,India,13,Home & Furniture,Furniture,Nilkamal Office Chair,8316.36,4,0.25,24949.08,21803.09,3145.99,Debit Card,3,4.7,No,Not Applicable,2025,2,February,Q1,12.61
ORD00004,2025-09-10,2025-09-15,Standard Delivery,CUST0007,Simran Reddy,Corporate,Telangana,Warangal,India,10,Home Appliances,Kitchen Appliances,Prestige Mixer Grinder,4857.67,2,0.2,7772.27,7005.6,766.67,Net Banking,5,4.3,No,Not Applicable,2025,9,September,Q3,9.86
ORD00005,2025-05-25,2025-06-01,Standard Delivery,CUST0071,Kavya Nair,Consumer,West Bengal,Howrah,India,4,Electronics,Laptops,HP 15s Laptop,59275.74,1,0.0,59275.74,45659.44,13616.3,UPI,7,3.8,No,Not Applicable,2025,5,May,Q2,22.97
ORD00006,2025-02-27,2025-03-02,Standard Delivery,CUST0148,Vikram Sharma,Corporate,Karnataka,Bengaluru,India,9,Home Appliances,Kitchen Appliances,Philips Air Fryer,8810.03,3,0.15,22465.58,19383.26,3082.32,Credit Card,3,4.0,No,Not Applicable,2025,2,February,Q1,13.72
ORD00007,2025-02-27,2025-03-06,Standard Delivery,CUST0044,Pooja Patel,Corporate,West Bengal,Kolkata,India,15,Home & Furniture,Home Decor,LED Table Lamp,1350.23,4,0.1,4860.83,2923.28,1937.55,Credit Card,7,3.6,No,Not Applicable,2025,2,February,Q1,39.86
ORD00008,2025-02-23,2025-02-25,Express Delivery,CUST0118,Divya Rao,Corporate,Telangana,Hyderabad,India,11,Home Appliances,Refrigerators,LG 260L Refrigerator,29895.1,1,0.2,23916.08,22938.81,977.27,UPI,2,5.0,No,Not Applicable,2025,2,February,Q1,4.09
ORD00009,2025-07-05,2025-07-11,Standard Delivery,CUST0060,Simran Kulkarni,Small Business,Delhi,Delhi,India,5,Electronics,Laptops,Lenovo IdeaPad Slim 3,53830.05,5,0.25,201862.69,207949.4,-6086.71,Debit Card,6,3.1,No,Not Applicable,2025,7,July,Q3,-3.02
ORD00010,2025-11-08,2025-11-13,Standard Delivery,CUST0030,Vikram Joshi,Consumer,Uttar Pradesh,Lucknow,India,5,Electronics,Laptops,Lenovo IdeaPad Slim 3,54306.5,1,0.05,51591.18,42713.32,8877.86,Credit Card,5,5.0,No,Not Applicable,2025,11,November,Q4,17.21
